ID,round,choice,reward
0,0,0,2
0,1,1,5
0,2,1,0
0,3,0,2
0,4,0,2
0,5,0,2
0,6,0,2
0,7,0,2
0,8,1,5
0,9,1,5
0,10,1,5
0,11,1,0
0,12,0,2
0,13,0,2
0,14,1,5
0,15,1,0
0,16,0,2
0,17,0,2
0,18,0,2
0,19,0,2
0,20,0,2
0,21,0,2
0,22,0,2
0,23,0,2
0,24,0,2
0,25,0,2
0,26,0,2
0,27,0,2
0,28,0,2
0,29,1,0
0,30,1,5
0,31,1,5
0,32,1,5
0,33,1,5
0,34,1,5
0,35,1,5
0,36,1,5
0,37,1,0
0,38,1,0
0,39,0,2
0,40,0,2
0,41,0,2
0,42,0,2
0,43,0,2
0,44,0,2
0,45,0,2
0,46,0,2
0,47,0,2
0,48,0,2
0,49,0,2
0,50,0,2
0,51,0,2
0,52,0,2
0,53,1,5
0,54,1,0
0,55,1,0
0,56,1,0
0,57,0,2
0,58,0,2
0,59,0,2
0,60,0,2
0,61,0,2
0,62,0,2
0,63,0,2
0,64,0,2
0,65,0,2
0,66,0,2
0,67,0,2
0,68,0,2
0,69,0,2
0,70,0,2
0,71,1,5
0,72,1,0
0,73,0,2
0,74,0,2
0,75,0,2
0,76,0,2
0,77,1,0
0,78,1,0
0,79,0,2
0,80,0,2
0,81,0,2
0,82,0,2
0,83,0,2
0,84,0,2
0,85,0,2
0,86,0,2
0,87,0,2
0,88,0,2
0,89,0,2
0,90,0,2
0,91,0,2
0,92,0,2
0,93,0,2
0,94,0,2
0,95,0,2
0,96,0,2
0,97,0,2
0,98,0,2
0,99,0,2
1,0,0,2
1,1,1,5
1,2,1,5
1,3,1,5
1,4,1,5
1,5,1,5
1,6,1,5
1,7,1,0
1,8,0,2
1,9,0,2
1,10,0,2
1,11,0,2
1,12,0,2
1,13,0,2
1,14,0,2
1,15,0,2
1,16,1,0
1,17,0,2
1,18,1,0
1,19,0,2
1,20,1,0
1,21,1,5
1,22,1,0
1,23,0,2
1,24,0,2
1,25,1,0
1,26,1,5
1,27,1,0
1,28,1,0
1,29,0,2
1,30,0,2
1,31,0,2
1,32,0,2
1,33,0,2
1,34,0,2
1,35,0,2
1,36,0,2
1,37,0,2
1,38,0,2
1,39,0,2
1,40,0,2
1,41,0,2
1,42,0,2
1,43,0,2
1,44,0,2
1,45,1,0
1,46,1,5
1,47,1,5
1,48,1,5
1,49,1,0
1,50,0,2
