ID,round,choice,reward
0,0,1,0
0,1,0,5
0,2,1,15
0,3,0,5
0,4,0,5
0,5,0,5
0,6,0,5
0,7,1,15
0,8,1,0
0,9,0,5
0,10,1,0
0,11,0,5
0,12,0,5
0,13,0,5
0,14,0,5
0,15,1,0
0,16,0,5
0,17,1,0
0,18,1,0
0,19,0,5
0,20,0,5
0,21,1,0
0,22,1,0
0,23,1,0
0,24,0,5
0,25,0,5
0,26,0,5
0,27,1,0
0,28,0,5
0,29,1,0
0,30,1,0
0,31,0,5
0,32,0,5
0,33,1,0
0,34,1,0
0,35,1,0
0,36,0,5
0,37,0,5
0,38,0,5
0,39,0,5
0,40,0,5
0,41,0,5
0,42,0,5
0,43,0,5
0,44,0,5
0,45,1,0
0,46,1,15
0,47,1,15
0,48,1,0
0,49,1,15
0,50,0,5
0,51,0,5
0,52,0,5
0,53,1,15
0,54,1,0
0,55,0,5
0,56,0,5
0,57,0,5
0,58,0,5
0,59,1,0
0,60,0,5
0,61,0,5
0,62,1,0
0,63,0,5
0,64,0,5
0,65,0,5
0,66,0,5
0,67,1,0
0,68,0,5
0,69,1,0
0,70,1,0
0,71,1,0
0,72,0,5
0,73,1,0
0,74,0,5
0,75,1,0
0,76,1,0
0,77,1,15
0,78,0,5
0,79,0,5
0,80,0,5
0,81,1,0
0,82,0,5
0,83,0,5
0,84,0,5
0,85,1,0
0,86,1,0
0,87,0,5
0,88,1,0
0,89,0,5
0,90,1,0
0,91,1,0
0,92,0,5
0,93,1,0
0,94,1,0
0,95,0,5
0,96,0,5
0,97,0,5
0,98,1,0
0,99,0,5
1,0,0,5
1,1,1,0
1,2,1,0
1,3,0,5
1,4,1,0
1,5,1,0
1,6,0,5
1,7,0,5
1,8,0,5
1,9,1,0
1,10,0,5
1,11,0,5
1,12,0,5
1,13,0,5
1,14,0,5
1,15,0,5
1,16,0,5
1,17,0,5
1,18,1,0
1,19,1,0
1,20,0,5
1,21,1,0
1,22,1,0
1,23,1,0
1,24,1,0
1,25,0,5
1,26,1,0
1,27,1,15
1,28,0,5
1,29,1,0
1,30,1,0
1,31,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,0,5
1,36,1,0
1,37,0,5
1,38,0,5
1,39,0,5
1,40,1,0
1,41,0,5
1,42,0,5
1,43,0,5
1,44,0,5
1,45,1,0
1,46,1,0
1,47,0,5
1,48,0,5
1,49,0,5
1,50,0,5
1,51,1,0
1,52,0,5
1,53,1,0
1,54,1,0
1,55,0,5
1,56,0,5
1,57,0,5
1,58,0,5
1,59,1,0
1,60,1,0
1,61,0,5
1,62,0,5
1,63,0,5
1,64,0,5
1,65,0,5
1,66,0,5
1,67,0,5
1,68,1,0
1,69,0,5
1,70,1,15
1,71,0,5
1,72,0,5
1,73,1,0
1,74,1,0
1,75,0,5
1,76,1,0
1,77,1,0
1,78,1,0
1,79,1,0
1,80,0,5
1,81,0,5
1,82,1,0
1,83,0,5
1,84,1,0
1,85,1,0
1,86,0,5
1,87,0,5
1,88,0,5
1,89,0,5
1,90,1,0
1,91,0,5
1,92,1,0
1,93,1,0
1,94,0,5
1,95,0,5
1,96,0,5
1,97,1,0
1,98,1,0
1,99,1,0
2,0,0,5
2,1,1,0
2,2,1,0
2,3,1,0
2,4,0,5
2,5,0,5
2,6,1,0
2,7,1,0
2,8,0,5
2,9,1,0
2,10,0,5
2,11,0,5
2,12,0,5
2,13,1,0
2,14,1,0
2,15,0,5
2,16,1,15
2,17,1,0
2,18,1,0
2,19,1,0
2,20,1,15
2,21,0,5
2,22,0,5
2,23,0,5
2,24,1,0
2,25,0,5
2,26,1,0
2,27,1,0
2,28,0,5
2,29,0,5
2,30,1,0
2,31,1,0
2,32,0,5
2,33,1,0
2,34,1,0
2,35,0,5
2,36,0,5
2,37,0,5
2,38,0,5
2,39,1,0
2,40,0,5
2,41,1,0
2,42,1,0
2,43,1,0
2,44,0,5
2,45,1,0
2,46,0,5
2,47,0,5
2,48,0,5
2,49,1,0
2,50,0,5
2,51,0,5
2,52,0,5
2,53,0,5
2,54,1,0
2,55,0,5
2,56,0,5
2,57,0,5
2,58,0,5
2,59,0,5
2,60,0,5
2,61,1,15
2,62,1,0
2,63,0,5
2,64,0,5
2,65,0,5
2,66,0,5
2,67,0,5
2,68,0,5
2,69,0,5
2,70,1,0
2,71,0,5
2,72,0,5
2,73,1,0
2,74,1,0
2,75,0,5
2,76,1,0
2,77,0,5
2,78,0,5
2,79,1,0
2,80,1,15
2,81,1,0
2,82,1,0
2,83,1,0
2,84,1,0
2,85,1,0
2,86,0,5
2,87,0,5
2,88,1,0
2,89,0,5
2,90,1,0
2,91,1,0
2,92,0,5
2,93,0,5
2,94,0,5
2,95,0,5
2,96,0,5
2,97,0,5
2,98,1,0
2,99,0,5
3,0,0,5
3,1,0,5
3,2,0,5
3,3,1,0
3,4,0,5
3,5,0,5
3,6,1,0
3,7,0,5
3,8,0,5
3,9,0,5
3,10,0,5
3,11,0,5
3,12,1,0
3,13,0,5
3,14,0,5
3,15,0,5
3,16,1,0
3,17,0,5
3,18,1,15
3,19,1,0
3,20,1,0
3,21,1,0
3,22,1,0
3,23,1,0
3,24,1,0
3,25,1,0
3,26,0,5
3,27,0,5
3,28,0,5
3,29,0,5
3,30,0,5
3,31,0,5
3,32,1,0
3,33,0,5
3,34,1,0
3,35,1,0
3,36,0,5
3,37,1,0
3,38,1,0
3,39,1,0
3,40,1,0
3,41,0,5
3,42,1,0
3,43,0,5
3,44,1,0
3,45,0,5
3,46,0,5
3,47,0,5
3,48,0,5
3,49,1,0
3,50,1,15
3,51,0,5
3,52,0,5
3,53,1,0
3,54,0,5
3,55,0,5
3,56,0,5
3,57,1,0
3,58,0,5
3,59,1,0
3,60,1,0
3,61,1,15
3,62,0,5
3,63,0,5
3,64,1,0
3,65,1,0
3,66,0,5
3,67,1,0
3,68,0,5
3,69,0,5
3,70,1,0
3,71,1,0
3,72,0,5
3,73,1,0
3,74,0,5
3,75,1,15
3,76,1,0
3,77,1,0
3,78,0,5
3,79,1,0
3,80,1,0
3,81,1,0
3,82,0,5
3,83,0,5
3,84,0,5
3,85,1,0
3,86,1,0
3,87,1,0
3,88,0,5
3,89,0,5
3,90,0,5
3,91,0,5
3,92,0,5
3,93,1,0
3,94,0,5
3,95,0,5
3,96,1,15
3,97,0,5
3,98,0,5
3,99,0,5
4,0,0,5
4,1,1,0
4,2,0,5
4,3,1,0
4,4,1,0
4,5,1,0
4,6,0,5
4,7,0,5
4,8,1,0
4,9,1,0
4,10,0,5
4,11,1,15
4,12,1,0
4,13,1,0
4,14,1,0
4,15,1,0
4,16,1,0
4,17,0,5
4,18,0,5
4,19,1,15
4,20,0,5
4,21,0,5
4,22,0,5
4,23,0,5
4,24,1,0
4,25,0,5
4,26,0,5
