ID,round,choice,reward
0,0,0,5
0,1,0,5
0,2,1,30
0,3,1,0
0,4,0,5
0,5,0,5
0,6,0,5
0,7,1,0
0,8,0,5
0,9,0,5
0,10,0,5
0,11,0,5
0,12,0,5
0,13,0,5
0,14,0,5
0,15,0,5
0,16,0,5
0,17,1,0
0,18,1,0
0,19,0,5
0,20,0,5
0,21,0,5
0,22,1,30
0,23,1,30
0,24,1,30
0,25,1,30
0,26,1,0
0,27,0,5
0,28,0,5
0,29,0,5
0,30,0,5
0,31,0,5
0,32,0,5
0,33,0,5
0,34,1,30
0,35,1,30
0,36,1,30
0,37,1,0
0,38,1,0
0,39,1,30
0,40,1,30
0,41,1,30
0,42,1,30
0,43,1,0
0,44,0,5
0,45,0,5
0,46,1,30
0,47,1,30
0,48,1,0
0,49,1,30
0,50,1,30
0,51,1,30
0,52,1,30
0,53,1,30
0,54,1,0
0,55,1,30
0,56,1,30
0,57,1,30
0,58,1,0
0,59,0,5
0,60,0,5
0,61,0,5
0,62,1,30
0,63,0,5
0,64,0,5
0,65,0,5
0,66,0,5
0,67,0,5
0,68,0,5
0,69,0,5
0,70,1,0
0,71,1,30
0,72,1,30
0,73,1,30
0,74,1,0
0,75,1,0
0,76,0,5
0,77,0,5
0,78,1,0
0,79,1,0
0,80,0,5
0,81,0,5
0,82,0,5
0,83,1,0
0,84,0,5
0,85,0,5
0,86,0,5
0,87,0,5
0,88,0,5
0,89,0,5
0,90,0,5
0,91,1,30
0,92,1,30
0,93,1,0
0,94,1,30
0,95,1,30
0,96,1,30
0,97,1,0
0,98,1,30
0,99,1,30
1,0,0,5
1,1,0,5
1,2,0,5
1,3,0,5
1,4,1,0
1,5,0,5
1,6,0,5
1,7,1,0
1,8,1,30
1,9,0,5
1,10,1,30
1,11,1,30
1,12,1,30
1,13,1,0
1,14,0,5
1,15,0,5
1,16,1,30
1,17,1,30
1,18,1,0
1,19,1,30
1,20,0,5
1,21,1,30
1,22,1,0
1,23,0,5
1,24,0,5
1,25,1,30
1,26,1,30
1,27,1,0
1,28,1,30
1,29,1,30
1,30,1,0
1,31,1,0
1,32,0,5
1,33,1,0
1,34,0,5
1,35,1,30
1,36,1,30
1,37,1,0
1,38,0,5
1,39,0,5
1,40,0,5
1,41,0,5
1,42,0,5
1,43,1,30
1,44,1,0
1,45,0,5
1,46,0,5
1,47,0,5
1,48,0,5
1,49,1,0
1,50,1,30
1,51,1,30
1,52,1,0
1,53,1,30
1,54,1,0
1,55,1,0
1,56,1,0
1,57,1,30
1,58,1,30
1,59,1,30
1,60,1,30
1,61,1,30
1,62,1,30
1,63,1,30
1,64,1,30
1,65,1,0
1,66,1,0
1,67,0,5
1,68,1,30
1,69,0,5
1,70,1,30
1,71,1,0
1,72,0,5
1,73,0,5
1,74,0,5
1,75,1,0
1,76,1,0
1,77,1,30
1,78,1,30
1,79,1,30
1,80,1,30
1,81,1,30
1,82,1,30
1,83,1,30
1,84,1,0
1,85,0,5
1,86,0,5
1,87,0,5
1,88,0,5
1,89,1,30
1,90,1,30
1,91,1,30
1,92,1,30
1,93,1,30
1,94,1,30
1,95,1,30
1,96,1,0
1,97,1,30
1,98,1,0
1,99,1,0
2,0,0,5
2,1,0,5
2,2,0,5
2,3,1,30
2,4,1,30
2,5,1,30
2,6,1,30
2,7,1,30
2,8,1,0
2,9,0,5
2,10,0,5
2,11,1,30
2,12,1,30
2,13,1,30
2,14,1,0
2,15,0,5
2,16,1,30
2,17,1,0
2,18,0,5
2,19,1,0
2,20,1,30
2,21,1,30
2,22,1,30
2,23,0,5
2,24,1,30
2,25,1,0
2,26,0,5
2,27,0,5
2,28,1,0
2,29,1,0
2,30,0,5
2,31,1,30
2,32,1,30
2,33,1,30
2,34,1,30
2,35,1,30
2,36,1,30
2,37,1,30
2,38,1,30
2,39,1,30
2,40,1,30
2,41,1,30
2,42,1,30
2,43,1,0
2,44,0,5
2,45,1,30
2,46,1,30
2,47,1,30
2,48,1,30
2,49,1,0
2,50,0,5
2,51,0,5
2,52,1,30
2,53,0,5
2,54,0,5
2,55,1,30
2,56,1,30
2,57,0,5
2,58,1,30
2,59,1,0
2,60,0,5
2,61,0,5
2,62,0,5
2,63,0,5
2,64,0,5
2,65,0,5
2,66,1,30
2,67,1,0
2,68,0,5
2,69,0,5
2,70,1,30
2,71,1,0
2,72,1,30
2,73,1,30
2,74,1,30
2,75,1,30
2,76,1,30
2,77,1,0
2,78,1,30
2,79,1,0
2,80,0,5
2,81,0,5
2,82,1,30
2,83,1,0
2,84,0,5
2,85,0,5
2,86,0,5
2,87,0,5
2,88,0,5
2,89,1,30
2,90,1,30
2,91,1,30
2,92,1,0
2,93,0,5
2,94,1,0
2,95,0,5
2,96,0,5
2,97,1,30
2,98,1,0
2,99,1,30
3,0,0,5
3,1,0,5
3,2,1,30
3,3,1,30
3,4,1,30
3,5,1,30
3,6,1,30
3,7,1,0
3,8,0,5
3,9,0,5
3,10,1,30
3,11,1,30
3,12,1,0
3,13,0,5
3,14,0,5
3,15,0,5
3,16,0,5
3,17,1,0
3,18,1,30
3,19,1,0
3,20,1,30
3,21,1,0
3,22,1,30
3,23,1,30
3,24,1,30
3,25,1,30
3,26,1,30
3,27,1,30
3,28,1,30
3,29,1,0
3,30,1,0
3,31,0,5
3,32,1,0
3,33,1,30
3,34,1,0
3,35,1,30
3,36,1,0
3,37,1,30
3,38,1,30
3,39,1,30
3,40,1,30
3,41,1,30
3,42,1,30
3,43,1,30
3,44,1,30
3,45,1,0
3,46,0,5
3,47,0,5
3,48,1,30
3,49,1,0
3,50,0,5
3,51,0,5
3,52,0,5
3,53,0,5
3,54,1,30
3,55,1,30
3,56,1,30
3,57,1,30
3,58,1,30
3,59,1,0
3,60,1,0
3,61,1,0
3,62,1,30
3,63,1,30
3,64,1,30
3,65,1,30
3,66,1,30
3,67,1,30
3,68,1,30
3,69,1,0
3,70,1,30
3,71,1,30
3,72,1,30
3,73,1,0
3,74,0,5
3,75,1,30
3,76,1,0
3,77,0,5
3,78,0,5
3,79,0,5
3,80,0,5
3,81,1,30
3,82,1,0
3,83,0,5
3,84,1,0
3,85,0,5
3,86,1,30
3,87,1,30
3,88,1,30
3,89,1,0
3,90,1,0
3,91,0,5
3,92,1,0
3,93,0,5
3,94,0,5
3,95,0,5
3,96,0,5
3,97,0,5
3,98,0,5
3,99,1,30
4,0,0,5
4,1,0,5
4,2,1,0
4,3,0,5
4,4,0,5
4,5,1,30
4,6,1,30
4,7,1,0
4,8,0,5
4,9,1,30
4,10,1,30
4,11,1,0
4,12,0,5
4,13,0,5
4,14,0,5
4,15,0,5
4,16,0,5
4,17,0,5
4,18,1,30
4,19,1,30
4,20,1,30
4,21,1,30
4,22,0,5
4,23,1,0
4,24,1,0
4,25,1,30
4,26,1,30
4,27,1,0
4,28,1,30
4,29,1,30
4,30,1,30
4,31,1,0
4,32,1,30
4,33,1,30
4,34,1,0
4,35,1,30
4,36,1,0
4,37,0,5
4,38,0,5
4,39,1,30
4,40,1,30
4,41,0,5
4,42,1,30
4,43,1,30
4,44,1,0
4,45,0,5
4,46,0,5
4,47,0,5
4,48,0,5
4,49,1,0
4,50,1,0
4,51,1,30
4,52,1,30
4,53,1,0
4,54,1,30
4,55,0,5
4,56,0,5
4,57,0,5
4,58,1,30
4,59,1,30
4,60,1,0
4,61,0,5
4,62,0,5
4,63,1,0
4,64,1,30
4,65,1,30
4,66,1,30
4,67,1,30
4,68,1,0
4,69,0,5
4,70,1,0
4,71,0,5
4,72,0,5
4,73,0,5
4,74,0,5
4,75,0,5
4,76,1,0
4,77,1,0
4,78,1,30
4,79,1,30
4,80,1,0
4,81,0,5
4,82,0,5
4,83,0,5
4,84,1,30
4,85,1,0
4,86,0,5
4,87,0,5
4,88,0,5
4,89,1,30
4,90,1,30
4,91,1,0
4,92,1,30
4,93,1,30
4,94,1,30
4,95,1,0
4,96,0,5
4,97,1,30
4,98,1,0
4,99,0,5
5,0,0,5
5,1,0,5
5,2,1,30
5,3,1,30
5,4,0,5
5,5,1,30
5,6,1,0
5,7,1,0
5,8,1,30
5,9,1,0
5,10,1,30
5,11,1,0
5,12,0,5
5,13,1,30
5,14,1,30
5,15,1,0
5,16,0,5
5,17,1,0
5,18,1,30
5,19,1,0
5,20,1,30
5,21,1,30
5,22,1,0
5,23,0,5
5,24,0,5
5,25,0,5
5,26,0,5
5,27,1,30
5,28,1,30
5,29,1,30
5,30,1,0
5,31,1,0
5,32,0,5
5,33,1,30
5,34,1,0
5,35,1,0
5,36,0,5
5,37,1,0
5,38,1,30
5,39,1,0
5,40,0,5
5,41,0,5
5,42,0,5
5,43,0,5
5,44,0,5
5,45,0,5
5,46,0,5
5,47,0,5
5,48,1,30
5,49,1,30
5,50,1,0
5,51,1,30
5,52,1,0
5,53,1,30
5,54,1,0
5,55,1,30
5,56,1,0
5,57,1,30
5,58,1,30
5,59,1,0
5,60,1,0
5,61,0,5
5,62,0,5
5,63,1,30
5,64,1,30
5,65,1,30
5,66,1,30
5,67,1,30
5,68,1,30
5,69,1,30
