ID,round,choice,reward
0,0,0,2.0
0,1,0,2.0
0,2,0,2.0
0,3,0,2.0
0,4,0,2.0
0,5,0,2.0
0,6,0,2.0
0,7,0,2.0
0,8,0,2.0
0,9,0,2.0
0,10,0,2.0
0,11,0,2.0
0,12,0,2.0
0,13,0,2.0
0,14,0,2.0
0,15,0,2.0
0,16,0,2.0
0,17,0,2.0
0,18,0,2.0
0,19,0,2.0
0,20,0,2.0
0,21,0,2.0
0,22,0,2.0
0,23,0,2.0
0,24,0,2.0
0,25,0,2.0
0,26,0,2.0
0,27,0,2.0
0,28,0,2.0
0,29,0,2.0
0,30,0,2.0
0,31,0,2.0
0,32,0,2.0
0,33,0,2.0
0,34,0,2.0
0,35,0,2.0
0,36,0,2.0
0,37,0,2.0
0,38,0,2.0
0,39,0,2.0
0,40,0,2.0
0,41,0,2.0
0,42,0,2.0
0,43,0,2.0
0,44,0,2.0
0,45,0,2.0
0,46,0,2.0
0,47,0,2.0
0,48,0,2.0
0,49,0,2.0
0,50,0,2.0
0,51,0,2.0
0,52,0,2.0
0,53,0,2.0
0,54,0,2.0
0,55,0,2.0
0,56,0,2.0
0,57,0,2.0
0,58,0,2.0
0,59,0,2.0
0,60,0,2.0
0,61,0,2.0
0,62,0,2.0
0,63,0,2.0
0,64,0,2.0
0,65,0,2.0
0,66,0,2.0
0,67,0,2.0
0,68,0,2.0
0,69,0,2.0
0,70,0,2.0
0,71,0,2.0
0,72,0,2.0
0,73,0,2.0
0,74,0,2.0
0,75,0,2.0
0,76,0,2.0
0,77,0,2.0
0,78,0,2.0
0,79,0,2.0
0,80,0,2.0
0,81,0,2.0
0,82,0,2.0
0,83,0,2.0
0,84,0,2.0
0,85,0,2.0
0,86,0,2.0
0,87,0,2.0
0,88,0,2.0
0,89,0,2.0
0,90,0,2.0
0,91,0,2.0
0,92,1,0.0
0,93,0,2.0
0,94,0,2.0
0,95,0,2.0
0,96,0,2.0
0,97,0,2.0
0,98,1,8.571428571428571
0,99,1,8.571428571428571
1,0,0,2.0
1,1,0,2.0
1,2,0,2.0
1,3,0,2.0
1,4,0,2.0
1,5,0,2.0
1,6,0,2.0
1,7,0,2.0
1,8,0,2.0
1,9,0,2.0
1,10,0,2.0
1,11,0,2.0
1,12,0,2.0
1,13,0,2.0
1,14,0,2.0
1,15,0,2.0
1,16,0,2.0
1,17,0,2.0
1,18,0,2.0
1,19,0,2.0
1,20,0,2.0
1,21,0,2.0
1,22,0,2.0
1,23,0,2.0
1,24,1,8.571428571428571
1,25,1,8.571428571428571
1,26,1,8.571428571428571
1,27,1,0.0
1,28,1,8.571428571428571
1,29,1,8.571428571428571
1,30,1,0.0
1,31,1,8.571428571428571
1,32,1,8.571428571428571
1,33,1,8.571428571428571
1,34,1,8.571428571428571
1,35,1,0.0
1,36,1,8.571428571428571
1,37,1,0.0
1,38,1,8.571428571428571
1,39,1,8.571428571428571
1,40,1,0.0
1,41,1,8.571428571428571
1,42,1,8.571428571428571
1,43,1,8.571428571428571
1,44,1,8.571428571428571
1,45,1,8.571428571428571
1,46,1,0.0
1,47,1,8.571428571428571
1,48,1,8.571428571428571
1,49,1,8.571428571428571
1,50,1,0.0
1,51,1,8.571428571428571
1,52,1,0.0
1,53,1,0.0
1,54,1,8.571428571428571
1,55,1,0.0
1,56,1,8.571428571428571
1,57,1,0.0
1,58,1,8.571428571428571
1,59,1,0.0
1,60,1,0.0
1,61,1,8.571428571428571
1,62,1,8.571428571428571
1,63,1,8.571428571428571
1,64,1,0.0
1,65,1,8.571428571428571
1,66,1,0.0
1,67,1,8.571428571428571
1,68,1,8.571428571428571
1,69,1,8.571428571428571
1,70,1,8.571428571428571
1,71,1,8.571428571428571
1,72,1,8.571428571428571
1,73,1,8.571428571428571
1,74,1,8.571428571428571
1,75,1,8.571428571428571
1,76,1,8.571428571428571
1,77,1,0.0
1,78,1,8.571428571428571
1,79,1,8.571428571428571
1,80,1,8.571428571428571
1,81,1,8.571428571428571
1,82,1,0.0
1,83,1,8.571428571428571
1,84,1,8.571428571428571
1,85,1,8.571428571428571
1,86,1,8.571428571428571
1,87,1,8.571428571428571
1,88,1,8.571428571428571
1,89,1,8.571428571428571
1,90,1,0.0
1,91,1,8.571428571428571
1,92,1,0.0
1,93,1,8.571428571428571
1,94,1,8.571428571428571
1,95,1,8.571428571428571
1,96,1,8.571428571428571
1,97,1,8.571428571428571
1,98,1,0.0
1,99,1,0.0
2,0,0,2.0
2,1,0,2.0
2,2,0,2.0
2,3,0,2.0
2,4,0,2.0
2,5,0,2.0
2,6,0,2.0
2,7,0,2.0
2,8,0,2.0
2,9,0,2.0
2,10,0,2.0
2,11,0,2.0
2,12,0,2.0
2,13,0,2.0
2,14,0,2.0
2,15,1,8.571428571428571
2,16,0,2.0
2,17,0,2.0
2,18,0,2.0
2,19,0,2.0
2,20,0,2.0
2,21,0,2.0
2,22,0,2.0
2,23,0,2.0
2,24,0,2.0
2,25,0,2.0
2,26,0,2.0
2,27,0,2.0
2,28,0,2.0
2,29,0,2.0
2,30,0,2.0
2,31,0,2.0
2,32,0,2.0
2,33,0,2.0
2,34,0,2.0
2,35,0,2.0
2,36,0,2.0
2,37,0,2.0
2,38,0,2.0
2,39,0,2.0
2,40,0,2.0
2,41,0,2.0
2,42,0,2.0
2,43,0,2.0
2,44,0,2.0
2,45,0,2.0
2,46,0,2.0
2,47,0,2.0
2,48,0,2.0
2,49,0,2.0
2,50,0,2.0
2,51,0,2.0
2,52,0,2.0
2,53,0,2.0
2,54,0,2.0
2,55,0,2.0
2,56,0,2.0
2,57,0,2.0
2,58,0,2.0
2,59,0,2.0
2,60,0,2.0
2,61,0,2.0
2,62,0,2.0
