ID,round,choice,reward
0,0,0,5
0,1,0,5
0,2,0,5
0,3,1,0
0,4,0,5
0,5,0,5
0,6,0,5
0,7,1,0
0,8,1,30
0,9,1,30
0,10,1,30
0,11,0,5
0,12,0,5
0,13,0,5
0,14,1,30
0,15,1,30
0,16,1,0
0,17,0,5
0,18,1,0
0,19,0,5
0,20,0,5
0,21,0,5
0,22,1,0
0,23,0,5
0,24,0,5
0,25,0,5
0,26,1,0
0,27,0,5
0,28,0,5
0,29,0,5
0,30,0,5
0,31,0,5
0,32,1,0
0,33,0,5
0,34,0,5
0,35,0,5
0,36,0,5
0,37,1,30
0,38,1,0
0,39,0,5
0,40,0,5
0,41,0,5
0,42,1,0
0,43,0,5
0,44,1,30
0,45,0,5
0,46,0,5
0,47,0,5
0,48,1,0
0,49,1,0
0,50,0,5
0,51,0,5
0,52,1,0
0,53,1,0
0,54,0,5
0,55,0,5
0,56,1,0
0,57,1,0
0,58,1,30
0,59,1,0
0,60,1,0
0,61,0,5
0,62,0,5
0,63,0,5
0,64,0,5
0,65,0,5
0,66,0,5
0,67,0,5
0,68,0,5
0,69,1,30
0,70,1,0
0,71,0,5
0,72,1,30
0,73,1,30
0,74,1,30
0,75,1,30
0,76,1,30
0,77,1,0
0,78,1,0
0,79,1,30
0,80,1,0
0,81,0,5
0,82,1,0
0,83,1,0
0,84,0,5
0,85,0,5
0,86,1,30
0,87,1,0
0,88,1,0
0,89,1,0
0,90,1,30
0,91,1,0
0,92,1,0
0,93,1,0
0,94,1,30
0,95,1,0
0,96,0,5
0,97,0,5
0,98,0,5
0,99,1,0
1,0,0,5
1,1,0,5
1,2,1,30
1,3,1,0
1,4,1,0
1,5,0,5
1,6,0,5
1,7,0,5
1,8,0,5
1,9,0,5
1,10,0,5
1,11,0,5
1,12,0,5
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,0,5
1,18,1,0
1,19,1,30
1,20,0,5
1,21,0,5
1,22,0,5
1,23,0,5
1,24,0,5
1,25,0,5
1,26,1,0
1,27,0,5
1,28,0,5
1,29,0,5
1,30,0,5
1,31,1,0
1,32,0,5
1,33,0,5
1,34,1,0
1,35,0,5
1,36,1,0
1,37,0,5
1,38,0,5
1,39,0,5
1,40,0,5
1,41,0,5
1,42,0,5
1,43,0,5
1,44,0,5
1,45,1,0
1,46,0,5
1,47,0,5
1,48,0,5
1,49,0,5
1,50,0,5
1,51,0,5
1,52,0,5
1,53,1,0
1,54,1,30
1,55,1,0
1,56,1,30
1,57,1,0
1,58,1,0
1,59,1,0
1,60,0,5
1,61,1,30
1,62,1,0
1,63,0,5
1,64,0,5
1,65,0,5
1,66,0,5
1,67,1,30
1,68,0,5
1,69,0,5
1,70,0,5
1,71,0,5
1,72,1,0
1,73,1,30
1,74,1,30
1,75,1,30
1,76,1,0
1,77,0,5
1,78,0,5
1,79,0,5
1,80,0,5
1,81,1,0
1,82,1,0
1,83,0,5
1,84,0,5
1,85,1,0
1,86,0,5
1,87,0,5
1,88,0,5
1,89,1,30
1,90,0,5
1,91,1,30
1,92,1,0
1,93,0,5
1,94,1,0
1,95,1,0
1,96,1,0
1,97,0,5
1,98,0,5
1,99,1,0
2,0,0,5
2,1,0,5
2,2,0,5
2,3,0,5
2,4,0,5
2,5,0,5
2,6,0,5
2,7,0,5
2,8,1,0
2,9,1,0
2,10,0,5
2,11,1,0
2,12,0,5
2,13,0,5
2,14,0,5
2,15,0,5
2,16,0,5
2,17,0,5
2,18,0,5
2,19,0,5
2,20,0,5
2,21,0,5
2,22,1,30
2,23,1,30
2,24,1,0
2,25,1,0
2,26,1,0
2,27,0,5
2,28,0,5
2,29,0,5
2,30,1,30
2,31,1,0
2,32,1,0
2,33,0,5
2,34,0,5
2,35,0,5
2,36,0,5
2,37,1,0
2,38,0,5
2,39,0,5
2,40,1,0
2,41,1,30
2,42,1,30
2,43,1,0
2,44,0,5
2,45,0,5
2,46,1,30
2,47,1,0
2,48,0,5
2,49,0,5
2,50,0,5
2,51,1,0
2,52,0,5
2,53,0,5
2,54,0,5
2,55,0,5
2,56,0,5
2,57,0,5
2,58,0,5
2,59,0,5
2,60,0,5
2,61,0,5
2,62,1,0
2,63,1,30
2,64,1,30
2,65,1,30
2,66,1,0
2,67,0,5
2,68,0,5
2,69,1,0
2,70,0,5
2,71,1,0
2,72,1,0
2,73,0,5
2,74,0,5
2,75,0,5
2,76,0,5
2,77,1,30
2,78,0,5
2,79,1,0
2,80,0,5
2,81,0,5
2,82,0,5
2,83,1,0
2,84,1,30
2,85,1,0
2,86,0,5
2,87,1,0
2,88,1,30
2,89,0,5
2,90,1,0
2,91,1,0
2,92,0,5
2,93,1,0
2,94,1,30
2,95,1,0
2,96,1,30
2,97,1,0
2,98,1,0
2,99,0,5
3,0,0,5
3,1,0,5
3,2,0,5
3,3,0,5
3,4,0,5
3,5,0,5
3,6,1,0
3,7,0,5
3,8,0,5
3,9,1,0
3,10,0,5
3,11,1,0
3,12,1,0
3,13,0,5
3,14,0,5
3,15,1,0
3,16,0,5
3,17,1,0
3,18,1,30
3,19,1,30
3,20,1,30
3,21,0,5
3,22,0,5
3,23,0,5
3,24,1,0
3,25,0,5
3,26,0,5
3,27,0,5
3,28,1,0
3,29,1,0
3,30,0,5
3,31,1,0
3,32,1,30
3,33,1,0
3,34,1,0
3,35,1,0
3,36,0,5
3,37,0,5
3,38,1,0
3,39,0,5
3,40,1,0
3,41,1,30
3,42,1,0
3,43,1,30
3,44,0,5
3,45,0,5
3,46,1,0
3,47,1,0
3,48,1,30
3,49,1,0
3,50,0,5
3,51,1,0
3,52,0,5
3,53,1,0
3,54,0,5
3,55,1,30
3,56,1,0
3,57,0,5
3,58,0,5
3,59,0,5
3,60,0,5
3,61,0,5
3,62,0,5
3,63,0,5
3,64,0,5
3,65,0,5
3,66,0,5
3,67,0,5
3,68,0,5
3,69,0,5
3,70,0,5
3,71,0,5
3,72,1,0
3,73,0,5
3,74,1,30
3,75,1,0
3,76,0,5
3,77,0,5
3,78,1,0
3,79,1,0
3,80,0,5
3,81,1,0
3,82,0,5
3,83,1,0
3,84,0,5
3,85,0,5
3,86,0,5
3,87,0,5
3,88,1,30
3,89,1,0
3,90,1,0
3,91,0,5
3,92,0,5
3,93,0,5
3,94,0,5
3,95,0,5
3,96,0,5
3,97,0,5
3,98,0,5
3,99,0,5
4,0,0,5
4,1,0,5
4,2,0,5
4,3,0,5
4,4,0,5
4,5,0,5
4,6,1,0
4,7,1,0
4,8,0,5
4,9,0,5
4,10,1,0
4,11,0,5
4,12,1,0
4,13,0,5
4,14,0,5
4,15,0,5
4,16,1,30
4,17,1,30
4,18,1,0
4,19,1,30
4,20,1,30
4,21,1,0
4,22,1,0
4,23,1,30
4,24,1,0
4,25,0,5
4,26,1,0
4,27,1,0
4,28,0,5
4,29,0,5
4,30,0,5
4,31,0,5
4,32,1,0
4,33,0,5
4,34,0,5
4,35,0,5
4,36,0,5
4,37,0,5
4,38,1,30
4,39,1,0
4,40,1,0
4,41,1,30
4,42,1,0
4,43,1,0
4,44,1,0
4,45,0,5
4,46,0,5
4,47,0,5
4,48,0,5
4,49,1,0
4,50,1,0
4,51,1,0
4,52,1,30
4,53,0,5
4,54,1,0
4,55,0,5
4,56,0,5
4,57,0,5
4,58,1,0
4,59,1,0
4,60,1,0
4,61,0,5
4,62,0,5
4,63,0,5
4,64,0,5
4,65,1,0
4,66,0,5
4,67,0,5
4,68,0,5
4,69,0,5
4,70,0,5
4,71,0,5
4,72,0,5
4,73,0,5
4,74,1,0
4,75,0,5
4,76,0,5
4,77,0,5
4,78,1,30
4,79,1,0
4,80,0,5
4,81,0,5
4,82,1,0
4,83,1,0
4,84,0,5
4,85,0,5
4,86,0,5
4,87,1,0
4,88,0,5
4,89,0,5
4,90,1,30
4,91,1,0
4,92,1,0
4,93,0,5
4,94,0,5
4,95,1,30
4,96,1,30
4,97,1,0
4,98,0,5
4,99,1,30
5,0,0,5
5,1,0,5
5,2,0,5
5,3,0,5
5,4,0,5
5,5,1,0
5,6,1,0
5,7,0,5
5,8,1,0
5,9,0,5
5,10,0,5
5,11,0,5
5,12,0,5
5,13,0,5
5,14,1,30
5,15,1,30
5,16,1,0
5,17,0,5
5,18,1,0
5,19,0,5
5,20,1,30
5,21,1,30
5,22,1,0
5,23,1,0
5,24,1,0
5,25,1,30
5,26,1,30
5,27,1,30
5,28,1,0
5,29,0,5
5,30,0,5
5,31,0,5
5,32,0,5
5,33,1,0
5,34,0,5
5,35,1,30
5,36,1,30
5,37,1,0
5,38,1,30
5,39,1,30
5,40,0,5
5,41,0,5
5,42,1,0
5,43,0,5
5,44,1,0
5,45,1,30
5,46,1,30
5,47,1,0
5,48,0,5
5,49,0,5
5,50,1,0
5,51,1,30
5,52,1,0
5,53,0,5
5,54,1,0
5,55,0,5
5,56,1,0
5,57,0,5
5,58,1,0
5,59,1,0
5,60,1,0
5,61,0,5
5,62,1,0
5,63,1,0
5,64,0,5
5,65,1,30
5,66,1,0
5,67,0,5
5,68,1,0
5,69,1,0
