ID,round,choice,reward
0,0,0,2
0,1,0,2
0,2,0,2
0,3,0,2
0,4,0,2
0,5,0,2
0,6,0,2
0,7,0,2
0,8,1,0
0,9,0,2
0,10,0,2
0,11,0,2
0,12,0,2
0,13,1,0
0,14,1,10
0,15,1,10
0,16,1,10
0,17,1,10
0,18,1,0
0,19,1,10
0,20,1,0
0,21,1,0
0,22,1,0
0,23,0,2
0,24,0,2
0,25,0,2
0,26,0,2
0,27,1,10
0,28,1,10
0,29,1,10
0,30,1,10
0,31,1,10
0,32,1,10
0,33,1,10
0,34,1,10
0,35,1,10
0,36,1,10
0,37,1,10
0,38,1,10
0,39,1,0
0,40,1,0
0,41,1,10
0,42,1,10
0,43,1,10
0,44,1,0
0,45,0,2
0,46,0,2
0,47,0,2
0,48,1,10
0,49,1,10
0,50,1,10
0,51,1,0
0,52,1,0
0,53,1,0
0,54,0,2
0,55,0,2
0,56,0,2
0,57,0,2
0,58,0,2
0,59,0,2
0,60,0,2
0,61,1,0
0,62,0,2
0,63,0,2
0,64,0,2
0,65,0,2
0,66,0,2
0,67,0,2
0,68,1,0
0,69,0,2
0,70,0,2
0,71,0,2
0,72,0,2
0,73,0,2
0,74,0,2
0,75,0,2
0,76,0,2
0,77,0,2
0,78,0,2
0,79,0,2
0,80,0,2
0,81,0,2
0,82,0,2
0,83,0,2
0,84,0,2
0,85,0,2
0,86,0,2
0,87,1,10
0,88,1,10
0,89,1,0
0,90,1,0
0,91,0,2
0,92,0,2
0,93,1,0
0,94,1,0
0,95,0,2
0,96,0,2
0,97,0,2
0,98,0,2
0,99,1,10
1,0,0,2
1,1,0,2
1,2,1,10
1,3,1,0
1,4,1,0
1,5,0,2
1,6,0,2
1,7,0,2
1,8,0,2
1,9,1,0
1,10,0,2
1,11,0,2
1,12,0,2
1,13,0,2
1,14,0,2
1,15,0,2
1,16,1,10
1,17,1,0
1,18,1,0
1,19,0,2
1,20,0,2
1,21,0,2
1,22,0,2
1,23,1,10
1,24,1,10
1,25,1,0
1,26,1,10
1,27,1,10
1,28,1,0
1,29,1,0
1,30,0,2
1,31,0,2
1,32,0,2
1,33,0,2
1,34,0,2
1,35,0,2
1,36,1,10
1,37,1,10
1,38,1,0
1,39,1,0
1,40,0,2
1,41,0,2
1,42,0,2
1,43,0,2
1,44,0,2
1,45,0,2
1,46,0,2
1,47,0,2
1,48,0,2
1,49,1,10
1,50,1,10
1,51,1,10
1,52,1,10
1,53,1,0
1,54,0,2
1,55,0,2
1,56,0,2
1,57,0,2
1,58,0,2
1,59,0,2
1,60,0,2
1,61,0,2
1,62,1,10
1,63,1,0
1,64,0,2
1,65,0,2
1,66,0,2
1,67,0,2
1,68,0,2
1,69,0,2
1,70,0,2
1,71,0,2
1,72,0,2
1,73,0,2
1,74,0,2
1,75,1,10
1,76,1,10
1,77,1,0
1,78,1,10
1,79,1,10
1,80,1,10
1,81,1,10
1,82,1,10
1,83,1,0
1,84,1,0
1,85,1,10
1,86,1,10
1,87,1,0
1,88,0,2
1,89,1,10
1,90,1,10
1,91,1,10
1,92,1,10
1,93,1,10
1,94,1,10
1,95,1,10
1,96,1,0
1,97,0,2
1,98,0,2
1,99,0,2
2,0,0,2
2,1,0,2
2,2,0,2
2,3,0,2
2,4,1,10
2,5,1,10
2,6,1,10
2,7,1,0
2,8,0,2
2,9,0,2
2,10,0,2
2,11,0,2
2,12,0,2
2,13,1,10
2,14,1,10
2,15,1,10
2,16,1,10
2,17,1,0
2,18,1,10
2,19,1,0
2,20,1,10
2,21,1,0
2,22,1,10
2,23,1,0
2,24,1,10
2,25,1,10
2,26,1,0
2,27,0,2
2,28,0,2
2,29,0,2
2,30,1,0
2,31,1,10
2,32,1,10
2,33,1,0
2,34,0,2
2,35,0,2
2,36,0,2
2,37,0,2
2,38,0,2
2,39,0,2
2,40,0,2
2,41,0,2
2,42,0,2
2,43,0,2
2,44,0,2
2,45,0,2
2,46,0,2
2,47,0,2
2,48,0,2
2,49,0,2
2,50,0,2
2,51,0,2
2,52,0,2
2,53,0,2
2,54,0,2
2,55,0,2
2,56,0,2
2,57,0,2
2,58,0,2
2,59,0,2
2,60,0,2
2,61,0,2
2,62,0,2
2,63,0,2
2,64,0,2
2,65,0,2
2,66,0,2
2,67,0,2
2,68,0,2
2,69,0,2
2,70,0,2
2,71,0,2
2,72,0,2
2,73,0,2
2,74,0,2
2,75,0,2
2,76,0,2
2,77,0,2
2,78,1,10
2,79,1,10
2,80,1,0
2,81,1,0
2,82,1,10
2,83,1,10
2,84,1,0
2,85,1,10
2,86,1,10
2,87,1,0
2,88,1,10
2,89,1,10
2,90,1,10
2,91,1,10
2,92,1,0
2,93,1,10
2,94,1,0
2,95,1,0
2,96,0,2
2,97,0,2
2,98,0,2
2,99,0,2
3,0,0,2
3,1,0,2
3,2,0,2
3,3,1,0
3,4,0,2
3,5,1,10
3,6,1,0
