ID,round,choice,reward
0,0,1,10
0,1,1,10
0,2,0,2
0,3,0,2
0,4,0,2
0,5,1,10
0,6,0,2
0,7,0,2
0,8,1,10
0,9,1,10
0,10,1,10
0,11,0,2
0,12,1,10
0,13,1,10
0,14,0,2
0,15,0,2
0,16,0,2
0,17,1,10
0,18,1,10
0,19,1,10
0,20,1,10
0,21,0,2
0,22,1,10
0,23,1,0
0,24,1,10
0,25,1,10
0,26,1,10
0,27,1,10
0,28,0,2
0,29,1,10
0,30,1,10
0,31,1,10
0,32,1,0
0,33,1,10
0,34,1,10
0,35,0,2
0,36,1,10
0,37,1,10
0,38,1,10
0,39,1,0
0,40,1,10
0,41,0,2
0,42,0,2
0,43,0,2
0,44,0,2
0,45,1,10
0,46,0,2
0,47,0,2
0,48,1,10
0,49,1,10
0,50,1,10
0,51,1,10
0,52,0,2
0,53,0,2
0,54,0,2
0,55,0,2
0,56,1,10
0,57,1,10
0,58,1,0
0,59,1,10
0,60,1,10
0,61,1,0
0,62,1,10
0,63,1,10
0,64,0,2
0,65,1,0
0,66,1,10
0,67,0,2
0,68,0,2
0,69,0,2
0,70,0,2
0,71,0,2
0,72,0,2
0,73,1,10
0,74,0,2
0,75,0,2
0,76,0,2
0,77,0,2
0,78,0,2
0,79,0,2
0,80,1,10
0,81,1,10
0,82,1,10
0,83,0,2
0,84,1,10
0,85,1,10
0,86,0,2
0,87,1,10
0,88,0,2
0,89,0,2
0,90,1,10
0,91,1,10
0,92,0,2
0,93,0,2
0,94,0,2
0,95,1,10
0,96,0,2
0,97,1,10
0,98,0,2
0,99,0,2
1,0,0,2
1,1,1,10
1,2,1,10
1,3,0,2
1,4,1,10
1,5,0,2
1,6,0,2
1,7,1,10
1,8,1,10
1,9,1,10
1,10,0,2
1,11,1,10
1,12,0,2
1,13,1,10
1,14,0,2
1,15,0,2
1,16,1,10
1,17,1,10
1,18,1,0
1,19,1,10
1,20,1,10
1,21,0,2
1,22,0,2
1,23,0,2
1,24,1,10
1,25,1,10
1,26,0,2
1,27,1,0
1,28,1,10
1,29,1,10
1,30,0,2
1,31,1,10
1,32,0,2
1,33,0,2
1,34,1,10
1,35,1,10
1,36,1,10
1,37,0,2
1,38,1,10
1,39,0,2
1,40,0,2
1,41,1,10
1,42,1,10
1,43,0,2
1,44,1,10
1,45,0,2
1,46,0,2
1,47,1,10
1,48,0,2
1,49,1,10
1,50,1,10
1,51,1,0
1,52,1,10
1,53,1,10
1,54,0,2
1,55,1,10
1,56,1,10
1,57,0,2
1,58,0,2
1,59,1,10
1,60,0,2
1,61,1,10
1,62,1,10
1,63,1,10
1,64,1,10
1,65,0,2
1,66,1,0
1,67,1,10
1,68,1,10
1,69,1,10
1,70,1,10
1,71,1,10
1,72,1,10
1,73,1,10
1,74,1,10
1,75,1,10
1,76,1,10
1,77,1,10
1,78,0,2
1,79,1,10
1,80,1,10
1,81,0,2
1,82,0,2
1,83,1,10
1,84,0,2
1,85,0,2
1,86,0,2
1,87,1,10
1,88,0,2
1,89,1,10
1,90,0,2
1,91,0,2
1,92,0,2
1,93,1,10
1,94,0,2
1,95,1,10
1,96,1,10
1,97,1,10
1,98,0,2
1,99,1,10
2,0,1,10
2,1,1,10
2,2,1,10
2,3,0,2
2,4,0,2
2,5,1,10
2,6,1,10
2,7,0,2
2,8,0,2
2,9,0,2
2,10,1,0
2,11,0,2
2,12,1,10
2,13,1,0
2,14,0,2
2,15,1,10
2,16,1,10
2,17,0,2
2,18,1,10
2,19,1,10
2,20,1,10
2,21,1,10
2,22,0,2
2,23,0,2
2,24,0,2
2,25,0,2
2,26,1,10
2,27,1,10
2,28,1,10
2,29,0,2
2,30,0,2
2,31,0,2
2,32,1,10
2,33,1,10
2,34,1,10
2,35,1,10
2,36,1,10
2,37,1,0
2,38,1,0
2,39,0,2
2,40,0,2
2,41,0,2
2,42,1,10
2,43,1,10
2,44,1,10
2,45,1,10
2,46,1,10
2,47,0,2
2,48,0,2
2,49,0,2
2,50,1,10
2,51,0,2
2,52,0,2
2,53,0,2
2,54,0,2
2,55,1,10
2,56,0,2
2,57,1,10
2,58,1,0
2,59,1,0
2,60,0,2
2,61,1,10
2,62,1,10
2,63,1,10
2,64,0,2
2,65,1,10
2,66,1,10
2,67,1,10
2,68,0,2
2,69,1,10
2,70,1,10
2,71,0,2
2,72,1,10
2,73,0,2
2,74,1,10
2,75,1,10
2,76,1,10
2,77,1,10
2,78,1,10
2,79,1,0
2,80,0,2
2,81,0,2
2,82,0,2
2,83,0,2
2,84,0,2
2,85,1,0
2,86,1,10
2,87,1,10
2,88,1,10
2,89,1,10
2,90,1,10
2,91,1,10
2,92,1,10
2,93,1,10
2,94,1,10
2,95,1,10
2,96,1,10
2,97,1,10
2,98,1,10
2,99,0,2
3,0,0,2
3,1,1,10
3,2,0,2
3,3,1,10
3,4,0,2
3,5,1,10
3,6,1,10
3,7,1,10
3,8,1,0
3,9,1,10
3,10,1,10
3,11,1,10
3,12,0,2
3,13,1,0
3,14,0,2
3,15,0,2
3,16,0,2
3,17,0,2
3,18,0,2
3,19,1,10
3,20,1,10
3,21,1,10
3,22,1,10
3,23,1,10
3,24,0,2
3,25,0,2
3,26,0,2
3,27,0,2
3,28,0,2
3,29,0,2
3,30,0,2
3,31,0,2
3,32,0,2
3,33,1,0
3,34,1,10
3,35,1,0
3,36,1,10
3,37,1,10
3,38,1,10
3,39,1,10
3,40,1,10
3,41,1,10
3,42,1,10
3,43,1,10
3,44,1,10
3,45,1,10
3,46,1,10
3,47,1,10
3,48,0,2
3,49,0,2
3,50,1,10
3,51,1,10
3,52,1,10
3,53,0,2
3,54,1,10
3,55,1,10
3,56,0,2
3,57,1,10
3,58,1,10
3,59,1,10
3,60,1,10
3,61,0,2
3,62,1,10
3,63,0,2
3,64,0,2
3,65,1,10
3,66,0,2
3,67,1,10
3,68,0,2
3,69,1,10
3,70,1,10
3,71,1,10
3,72,1,10
3,73,1,10
3,74,1,10
3,75,1,10
3,76,1,10
3,77,1,10
3,78,1,10
3,79,0,2
3,80,1,0
3,81,0,2
3,82,1,10
3,83,1,0
3,84,1,10
3,85,1,10
3,86,1,10
3,87,1,10
3,88,1,10
3,89,1,10
3,90,1,10
3,91,0,2
3,92,1,0
3,93,1,0
3,94,0,2
3,95,0,2
3,96,1,10
3,97,1,10
3,98,1,10
3,99,1,10
4,0,0,2
4,1,1,10
4,2,0,2
4,3,1,10
4,4,1,10
4,5,1,10
4,6,1,10
4,7,1,10
4,8,1,10
4,9,0,2
4,10,0,2
4,11,0,2
4,12,0,2
4,13,1,10
4,14,0,2
4,15,0,2
4,16,0,2
4,17,0,2
4,18,1,10
4,19,1,0
4,20,1,10
4,21,1,10
4,22,1,10
4,23,0,2
4,24,0,2
4,25,0,2
4,26,1,10
4,27,0,2
4,28,0,2
4,29,0,2
4,30,0,2
4,31,0,2
4,32,0,2
4,33,0,2
4,34,0,2
4,35,1,0
4,36,1,10
4,37,0,2
4,38,0,2
4,39,1,10
4,40,0,2
4,41,0,2
4,42,0,2
4,43,1,10
4,44,1,10
4,45,1,10
4,46,0,2
4,47,1,10
4,48,1,10
4,49,0,2
4,50,0,2
4,51,0,2
4,52,1,10
4,53,1,10
4,54,1,10
4,55,1,10
4,56,1,10
4,57,0,2
4,58,1,10
4,59,1,10
4,60,1,10
4,61,1,10
4,62,0,2
4,63,0,2
4,64,0,2
4,65,0,2
4,66,0,2
4,67,1,10
4,68,0,2
4,69,0,2
4,70,0,2
4,71,0,2
4,72,1,0
4,73,0,2
4,74,1,10
4,75,1,10
4,76,1,10
4,77,1,10
4,78,1,10
4,79,1,10
4,80,1,10
4,81,1,10
4,82,0,2
4,83,0,2
4,84,1,10
4,85,1,0
4,86,0,2
4,87,0,2
4,88,1,0
4,89,0,2
4,90,0,2
4,91,0,2
4,92,1,10
4,93,1,0
4,94,1,0
4,95,0,2
4,96,0,2
4,97,0,2
4,98,1,10
4,99,1,10
5,0,0,2
5,1,0,2
5,2,0,2
5,3,1,10
5,4,0,2
5,5,0,2
5,6,1,10
5,7,1,10
5,8,0,2
5,9,0,2
5,10,0,2
5,11,0,2
5,12,0,2
5,13,0,2
5,14,0,2
5,15,1,10
5,16,0,2
5,17,1,10
5,18,1,10
5,19,1,0
5,20,1,10
5,21,1,10
5,22,1,10
5,23,1,10
5,24,1,10
5,25,1,10
5,26,0,2
5,27,0,2
5,28,0,2
5,29,0,2
5,30,1,10
5,31,1,10
5,32,1,10
5,33,1,10
5,34,0,2
5,35,1,10
5,36,1,0
5,37,0,2
5,38,1,10
5,39,0,2
5,40,1,10
5,41,0,2
5,42,0,2
5,43,0,2
5,44,1,10
5,45,1,10
5,46,1,10
5,47,0,2
5,48,1,10
5,49,0,2
5,50,1,0
5,51,1,10
5,52,1,10
5,53,1,10
5,54,1,10
5,55,0,2
5,56,0,2
5,57,1,10
5,58,1,10
5,59,0,2
5,60,0,2
5,61,1,0
5,62,0,2
5,63,0,2
5,64,0,2
5,65,1,10
5,66,0,2
5,67,0,2
5,68,1,10
5,69,1,0
5,70,1,10
5,71,1,10
5,72,1,0
5,73,0,2
5,74,0,2
5,75,0,2
5,76,0,2
5,77,0,2
5,78,1,10
5,79,0,2
5,80,1,10
5,81,0,2
5,82,1,10
5,83,0,2
5,84,1,0
5,85,0,2
5,86,1,10
5,87,1,10
5,88,1,10
5,89,1,0
5,90,1,10
5,91,0,2
5,92,1,10
5,93,0,2
5,94,0,2
5,95,1,0
5,96,0,2
5,97,0,2
5,98,0,2
5,99,1,0
